,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date
44,0.627,0.663,6,-2.714,1,0.0329,0.164,0,0.118,0.39,90.058,audio_features,spotify:track:7HQn99HBIBHWkZfTMR8Kki,https://api.spotify.com/v1/tracks/7HQn99HBIBHWkZfTMR8Kki,https://api.spotify.com/v1/audio-analysis/7HQn99HBIBHWkZfTMR8Kki,232693,4,Give Me Your Eyes,Brandon Heath,What If We,7HQn99HBIBHWkZfTMR8Kki,spotify:artist:0W7wIkmxoGQbnZYn2z2sLj,"['ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']",,58.0,2008
45,0.5,0.836,6,-6.165,1,0.0454,0.00107,4.03e-05,0.197,0.41,90.011,audio_features,spotify:track:2lrHKMXyu8LTLxMorzJkTQ,https://api.spotify.com/v1/tracks/2lrHKMXyu8LTLxMorzJkTQ,https://api.spotify.com/v1/audio-analysis/2lrHKMXyu8LTLxMorzJkTQ,207173,4,He Knows My Name,Francesca Battistelli,If We're Honest (Deluxe Version),2lrHKMXyu8LTLxMorzJkTQ,spotify:artist:29ywwKkxfoH7iWwNY1UezA,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,60.0,2014-04-22
46,0.629,0.624,9,-4.975,0,0.0745,0.12,0,0.203,0.73,140.042,audio_features,spotify:track:5Vr9WTLcbpKRkQGvVen13W,https://api.spotify.com/v1/tracks/5Vr9WTLcbpKRkQGvVen13W,https://api.spotify.com/v1/audio-analysis/5Vr9WTLcbpKRkQGvVen13W,209062,4,Won't He Do It,Various Artists,Greenleaf Soundtrack - Season 2,5Vr9WTLcbpKRkQGvVen13W,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,[],,57.0,2017-09-08
47,0.583,0.707,0,-5.739,1,0.0403,0.0399,9.87e-06,0.106,0.569,116.016,audio_features,spotify:track:0In1riz1GC6ALuIzfKMp60,https://api.spotify.com/v1/tracks/0In1riz1GC6ALuIzfKMp60,https://api.spotify.com/v1/audio-analysis/0In1riz1GC6ALuIzfKMp60,187707,4,Gave You My Heart,Chris August,Gave You My Heart,0In1riz1GC6ALuIzfKMp60,spotify:artist:5ThfTvfTCfzJAEvtEI2Jf8,"['ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']",,53.0,2020-04-07
48,0.559,0.804,2,-5.704,1,0.0541,0.0159,0.000874,0.154,0.484,175.949,audio_features,spotify:track:43DVtoypVSY4mQV2JrqY9I,https://api.spotify.com/v1/tracks/43DVtoypVSY4mQV2JrqY9I,https://api.spotify.com/v1/audio-analysis/43DVtoypVSY4mQV2JrqY9I,197973,4,The God I Know,Love & The Outcome,These Are The Days,43DVtoypVSY4mQV2JrqY9I,spotify:artist:1xU1V8I8pFrMOjtuSmjPBs,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop']",,50.0,2016-09-23
49,0.508,0.544,7,-7.962,1,0.0286,0.333,0,0.257,0.407,138.114,audio_features,spotify:track:2hQxLiI93xdjqENJuKeXjO,https://api.spotify.com/v1/tracks/2hQxLiI93xdjqENJuKeXjO,https://api.spotify.com/v1/audio-analysis/2hQxLiI93xdjqENJuKeXjO,279160,3,In Christ Alone,Keith & Kristyn Getty,In Christ Alone,2hQxLiI93xdjqENJuKeXjO,spotify:artist:0I4Bk2s2BUJyykCwtxx8Xx,"['christian music', 'roots worship', 'worship']",,56.0,2006-01-01
50,0.458,0.557,11,-5.125,1,0.0316,0.261,2.45e-06,0.11,0.0693,130.009,audio_features,spotify:track:3MjwCDc5DwaPRSv6y2xZ5m,https://api.spotify.com/v1/tracks/3MjwCDc5DwaPRSv6y2xZ5m,https://api.spotify.com/v1/audio-analysis/3MjwCDc5DwaPRSv6y2xZ5m,251640,4,Don't Deserve You,Plumb,Need You Now (Deluxe Edition),3MjwCDc5DwaPRSv6y2xZ5m,spotify:artist:2tbxcCCM7A71cmkzuB8lyH,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,53.0,2012
51,0.545,0.472,11,-7.552,1,0.0279,0.434,0,0.0684,0.193,134.027,audio_features,spotify:track:5VUQsLff8A3ruAyCdTxqzg,https://api.spotify.com/v1/tracks/5VUQsLff8A3ruAyCdTxqzg,https://api.spotify.com/v1/audio-analysis/5VUQsLff8A3ruAyCdTxqzg,335907,4,Who Am I,Casting Crowns,Casting Crowns,5VUQsLff8A3ruAyCdTxqzg,spotify:artist:6eJqAWJdd8JhAN1pQGie4r,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,68.0,2003-10-07
52,0.605,0.351,11,-7.388,1,0.0276,0.569,0,0.114,0.231,123.022,audio_features,spotify:track:5wgUbLEOxNlKB6J9uBwW18,https://api.spotify.com/v1/tracks/5wgUbLEOxNlKB6J9uBwW18,https://api.spotify.com/v1/audio-analysis/5wgUbLEOxNlKB6J9uBwW18,306707,3,What You Say,Kevin Winebarger,What You Say,5wgUbLEOxNlKB6J9uBwW18,spotify:artist:0Mihk33hOz5pYMIDALdiFG,[],,40.0,2019-03-29
53,0.606,0.919,1,-3.687,1,0.0517,0.28,0,0.327,0.877,170.926,audio_features,spotify:track:5inO6pKYQ5Tm4uQ16S9IST,https://api.spotify.com/v1/tracks/5inO6pKYQ5Tm4uQ16S9IST,https://api.spotify.com/v1/audio-analysis/5inO6pKYQ5Tm4uQ16S9IST,181373,4,Love Take Me Over,Steven Curtis Chapman,The Glorious Unfolding,5inO6pKYQ5Tm4uQ16S9IST,spotify:artist:3vcFXwLEUdfWMu7gTQKyot,"['ccm', 'christian alternative rock', 'christian music', 'worship']",,47.0,2013-09-30
