danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date,lyrics_filtered
0.87,0.683,2,-3.388,1,0.201,0.0837,0,0.0529,0.83,144.111,audio_features,spotify:track:4MDdvtd216XIXnewQ0WunH,https://api.spotify.com/v1/tracks/4MDdvtd216XIXnewQ0WunH,https://api.spotify.com/v1/audio-analysis/4MDdvtd216XIXnewQ0WunH,193000,4,HEAT,lIlBOI,HEAT,4MDdvtd216XIXnewQ0WunH,spotify:artist:25wMXkplvEHJpJHX8A6Ved,['k-rap'],[''],47.0,2021-06-16,Error: No lyrics found
0.694,0.887,2,-2.592,0,0.119,0.0683,0,0.325,0.868,140.01,audio_features,spotify:track:2Zr0bYRHwWXi7eM2wuE6Aj,https://api.spotify.com/v1/tracks/2Zr0bYRHwWXi7eM2wuE6Aj,https://api.spotify.com/v1/audio-analysis/2Zr0bYRHwWXi7eM2wuE6Aj,335253,4,VVS,Various Artists,Show Me the Money 9 Episode 1,2Zr0bYRHwWXi7eM2wuE6Aj,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,[],[''],57.0,2020-11-21,Error: No lyrics found
0.756,0.849,0,-3.018,1,0.0777,0.0805,0,0.383,0.844,139.967,audio_features,spotify:track:5rf4kHX7sqmTSgc49YVWAI,https://api.spotify.com/v1/tracks/5rf4kHX7sqmTSgc49YVWAI,https://api.spotify.com/v1/audio-analysis/5rf4kHX7sqmTSgc49YVWAI,349120,4,VVS - H1GHR Remix,Various Artists,G+Jus,5rf4kHX7sqmTSgc49YVWAI,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,[],[''],44.0,2021-01-12,Error: No lyrics found
0.593,0.603,1,-6.479,1,0.212,0.183,0,0.115,0.818,172.022,audio_features,spotify:track:1SbEt51pN80q1cphFOqIPL,https://api.spotify.com/v1/tracks/1SbEt51pN80q1cphFOqIPL,https://api.spotify.com/v1/audio-analysis/1SbEt51pN80q1cphFOqIPL,184185,4,snow jam,Rin音,snow jam,1SbEt51pN80q1cphFOqIPL,spotify:artist:2sd5k8N8cAOm6Q8OCcePw4,"['j-pop', 'japanese pop rap', 'japanese teen pop']",[''],59.0,2020-02-19,Error: No lyrics found
0.691,0.832,10,-3.462,1,0.0553,0.125,0,0.0942,0.786,89.015,audio_features,spotify:track:2vpOAVtyZbQrkMXyM6y31Z,https://api.spotify.com/v1/tracks/2vpOAVtyZbQrkMXyM6y31Z,https://api.spotify.com/v1/audio-analysis/2vpOAVtyZbQrkMXyM6y31Z,189200,4,wonder,Rude-α,23,2vpOAVtyZbQrkMXyM6y31Z,spotify:artist:6ZtYpkBBZ7wfpM99Qxm0KO,['japanese pop rap'],[''],41.0,2020-03-04,Error: No lyrics found
