,Words
599,can't
600,fight x
601,the x
602,tears x
603,that x
604,ain't
605,coming
606,or
607,the x
608,moment x
609,of x
610,truth x
611,in x
612,your x
613,lies
614,when
615,everything x
616,feels x
617,like x
618,the x
619,movies y1
620,yeah y1
621,you x
622,bleed x
623,just x
624,to x
625,know x
626,you're
627,alive
628,and
629,I x
630,don't
631,want x
632,the x
633,world x
634,to x
635,see x
636,me
637,'cause
638,I x
639,don't
640,think x
641,that x
642,they'd
643,understand
644,when
645,everything's
646,made x
647,to x
648,be x
649,broken
650,i
651,just x
652,want x
653,you x
654,to x
655,know x
656,who x
657,I x
658,am
659,and
660,I x
661,don't
662,want x
663,the x
664,world x
665,to x
666,see x
667,me
668,'cause
669,I x
670,don't
671,think x
672,that x
673,they'd
674,understand
675,when
676,everything's
677,made x
678,to x
679,be x
680,broken
681,i
682,just x
683,want x
684,you x
685,to x
686,know x
687,who x
688,I x
689,am
690,and
691,I x
692,don't
693,want x
694,the x
695,world x
696,to x
697,see x
698,me
699,'cause
700,I x
701,don't
702,think x
703,that x
704,they'd
705,understand
706,when
707,everything's
708,made x
709,to x
710,be x
711,broken
712,i
713,just x
714,want x
715,you x
716,to x
717,know x
718,who x
719,I x
720,am
721,i
722,just x
723,want x
724,you x
725,to x
726,know x
727,who x
728,I x
729,am
730,i
731,just x
732,want x
733,you x
734,to x
735,know x
736,who x
737,I x
738,am
739,i
740,just x
741,want x
742,you x
743,to x
744,know x
745,who x
746,I x
747,'intro
748,who
749,took x
750,the x
751,every
752,day x
753,and x
754,night y1
755,every x
756,day x
757,and x
758,night
759,i
760,can x
761,see x
762,yr x
763,disco y1
764,disco x
765,dik
766,is
767,sucking x
768,my x
769,heart x
770,out x
771,of x
772,my x
773,mind
774,i'm
775,outta x
776,time y1
777,i'm
778,outta x
779,fuckin'
780,time
781,i'm
782,a x
783,gasoline x
784,gut x
785,with x
786,a x
787,Vaseline x
788,mind y1
789,but
790,wanna
791,Wanna x
792,see x
793,me x
794,let
795,me x
796,hear x
797,you x
798,depoliticize x
799,my x
800,rhyme y1
801,two y1
802,three y1
803,you
804,got x
805,what x
806,you x
807,been x
808,asking x
809,for
810,yr
811,so x
812,policy x
813,free x
814,and x
815,yr x
816,fantasy x
817,wheels
818,and
819,everything x
820,you x
821,think x
822,and x
823,everything x
824,you x
825,feel
826,is
827,alright y1
828,alright y1
829,alright y1
830,alright y1
831,alright
832,i
833,take x
834,you x
835,home y1
836,now x
837,watch x
838,me x
839,get x
840,you x
841,hot
842,yr
843,just x
844,a x
845,parrot x
846,when x
847,yr x
848,screaming x
849,and x
850,yr x
851,shouting
852,crackers y1
853,More x
854,crackers y1
855,you
856,want x
857,what x
858,you x
859,want x
860,but x
861,you x
862,don't
863,wanna x
864,be x
865,on x
866,yr x
867,knees
868,who
869,does x
870,your y1
871,who x
872,does x
873,your x
874,who
875,took x
876,the x
877,bomp x
878,from x
879,the x
880,who
881,took x
882,the x
883,ram x
884,from x
885,the x
886,who
887,took x
888,the x
889,bomp x
890,from x
891,the x
892,who
893,took x
894,the x
895,ram x
896,from x
897,the x
898,are x
899,thank x
900,are x
901,thank x
902,you
903,bought x
904,a x
905,new x
906,van x
907,the x
908,first x
909,year x
910,of x
911,yr x
912,band
913,yr
914,cool x
915,and x
916,I x
917,hardly x
918,wanna x
919,say x
920,because
921,i'm
922,so x
923,bored
924,that
925,i'd
926,be x
927,entertained x
928,even x
929,by x
930,a x
931,stupid x
932,floor
933,a
934,linoleum x
935,floor y1
936,linoleum x
937,floor
938,yr
939,lyrics x
940,are x
941,dumb x
942,like x
943,a x
944,linoleum x
945,floor
946,i'll
947,walk x
948,on x
949,it y1
950,i'll
951,walk x
952,all x
953,over x
954,you
955,walk
956,on x
957,it y1
958,walk x
959,on x
960,it y1
961,walking x
962,one y1
963,two
964,who
965,took x
966,the x
967,bomp x
968,from x
969,the x
970,who
971,took x
972,the x
973,ram x
974,from x
975,the x
976,who
977,took x
978,the x
979,bomp x
980,from x
981,the x
982,who
983,took x
984,the x
985,ram x
986,from x
987,the x
988,you x
989,you x
990,you x
991,you x
992,"later""'"
993,load
994,up x
995,on x
996,guns y1
997,bring x
998,your x
999,friends
1000,it's
1001,fun x
1002,to x
1003,lose x
1004,and x
1005,to x
1006,pretend
1007,she's
1008,and x
1009,oh
1010,no y1
1011,I x
1012,know x
1013,a x
1014,dirty x
1015,word y1
1016,hello y1
1017,hello y1
1018,hello y1
1019,how x
1020,low y1
1021,hello y1
1022,hello y1
1023,hello y1
1024,how x
1025,low y1
1026,hello y1
1027,hello y1
1028,hello y1
1029,how x
1030,low y1
1031,hello y1
1032,hello y1
1033,hello
1034,with
1035,the x
1036,lights x
1037,out y1
1038,it's
1039,less x
1040,dangerous
1041,here
1042,we x
1043,are x
1044,now y1
1045,entertain x
1046,us
1047,i
1048,feel x
1049,stupid x
1050,and x
1051,contagious
1052,here
1053,we x
1054,are x
1055,now y1
1056,entertain x
1057,us
1058,a
1059,mulatto y1
1060,an x
1061,albino
1062,a
1063,mosquito y1
1064,my x
1065,libido y1
1066,yeah y1
1067,hey y1
1068,yay
1069,i'm
1070,worse x
1071,at x
1072,what x
1073,I x
1074,do x
1075,best
1076,and
1077,for x
1078,this x
1079,gift y1
1080,I x
1081,feel x
1082,blessed
1083,our
1084,little x
1085,group x
1086,has x
1087,always x
1088,been
1089,and
1090,always x
1091,will x
1092,until x
1093,the x
1094,end y1
1095,hello y1
1096,hello y1
1097,hello y1
1098,how x
1099,low y1
1100,hello y1
1101,hello y1
1102,hello y1
1103,how x
1104,low y1
1105,hello y1
1106,hello y1
1107,hello y1
1108,how x
1109,low y1
1110,hello y1
1111,hello y1
1112,hello
1113,with
1114,the x
1115,lights x
1116,out y1
1117,it's
1118,less x
1119,dangerous
1120,here
1121,we x
1122,are x
1123,now y1
1124,entertain x
1125,us
1126,i
1127,feel x
1128,stupid x
1129,and x
1130,contagious
1131,here
1132,we x
1133,are x
1134,now y1
1135,entertain x
1136,us
1137,a
1138,mulatto y1
1139,an x
1140,albino
1141,a
1142,mosquito y1
1143,my x
1144,libido y1
1145,yeah y1
1146,hey y1
1147,yay
1148,and
1149,I x
1150,forget x
1151,just x
1152,why x
1153,I x
1154,taste
1155,oh
1156,yeah y1
1157,I x
1158,guess x
1159,it x
1160,makes x
1161,me x
1162,smile
1163,i
1164,found x
1165,it x
1166,hard y1
1167,it's
1168,hard x
1169,to x
1170,find
1171,oh
1172,well y1
1173,whatever y1
1174,never x
1175,mind y1
1176,hello y1
1177,hello y1
1178,hello y1
1179,how x
1180,low y1
1181,hello y1
1182,hello y1
1183,hello y1
1184,how x
1185,low y1
1186,hello y1
1187,hello y1
1188,hello y1
1189,how x
1190,low y1
1191,hello y1
1192,hello y1
1193,hello
1194,with
1195,the x
1196,lights x
1197,out y1
1198,it's
1199,less x
1200,dangerous
1201,here
1202,we x
1203,are x
1204,now y1
1205,entertain x
1206,us
1207,i
1208,feel x
1209,stupid x
1210,and x
1211,contagious
1212,here
1213,we x
1214,are x
1215,now y1
1216,entertain x
1217,us
1218,a
1219,mulatto y1
1220,an x
1221,albino
1222,a
1223,mosquito y1
1224,my x
1225,libido
1226,a
1227,denial y1
1228,a x
1229,denial
1230,a
1231,denial y1
1232,a x
1233,denial
1234,a
1235,denial y1
1236,a x
1237,denial
1238,a
1239,denial y1
1240,a x
1241,denial
1242,a
1243,'vad
1244,gör x
1245,du x
1246,varför
1247,hör x
1248,du x
1249,aldrig x
1250,av x
1251,det
1252,var x
1253,alldeles x
1254,för x
1255,längesen x
1256,vi x
1257,sågs
1258,det
1259,var x
1260,dom x
1261,första x
1262,ord x
1263,hon x
1264,sa
1265,när
1266,vi x
1267,sprang x
1268,på x
1269,varann
1270,ute
1271,på x
1272,stan x
1273,tidigare x
1274,idag
1275,bor
1276,du x
1277,kvar x
1278,i x
1279,samma x
1280,vad
1281,jobbar x
1282,du x
1283,hon
1284,bubblade x
1285,av x
1286,frågor x
1287,jag x
1288,svarade
1289,sen
1290,avbröt x
1291,hon x
1292,mig x
1293,med x
1294,sitt x
1295,underbara x
1296,leende
1297,du
1298,ska x
1299,veta x
1300,att x
1301,jag x
1302,saknar x
1303,dig
1304,det
1305,finns x
1306,känslor x
1307,som x
1308,aldrig x
1309,tar x
1310,slut
1311,du
1312,ska x
1313,veta x
1314,att x
1315,jag x
1316,inte x
1317,glömt
1318,det
1319,finns x
1320,bilder x
1321,som x
1322,aldrig x
1323,suddas x
1324,ut
1325,jag
1326,har x
1327,vaknat x
1328,mitt x
1329,i x
1330,natten x
1331,av x
1332,tystnaden
1333,och
1334,önskat x
1335,att x
1336,du x
1337,sov x
1338,här x
1339,bredvid x
1340,mig x
1341,igen
1342,en
1343,del x
1344,av x
1345,mitt x
1346,hjärta x
1347,kommer x
1348,alltid x
1349,slå x
1350,för x
1351,dig
1352,jag
1353,lovade x
1354,att x
1355,ringa
1356,det
1357,skulle x
1358,bli x
1359,rätt x
1360,snart
1361,hon
1362,fick x
1363,mitt x
1364,nummer x
1365,och x
1366,min x
1367,nya x
1368,adress
1369,sen
1370,rusa x
1371,hon x
1372,iväg
1373,hon
1374,hade x
1375,bråttom x
1376,förstås
1377,för
1378,bråttom x
1379,för x
1380,att x
1381,hinna x
1382,se
1383,att
1384,jag x
1385,följde x
1386,hennes x
1387,gång x
1388,med x
1389,en x
1390,förundrad x
1391,blick
1392,det
1393,fanns x
1394,så x
1395,mycket x
1396,kvar x
1397,att x
1398,säga x
1399,men x
1400,hon x
1401,bara x
1402,gick
1403,du
1404,ska x
1405,veta x
1406,att x
1407,jag x
1408,saknar x
1409,dig
1410,det
1411,finns x
1412,känslor x
1413,som x
1414,aldrig x
1415,tar x
1416,slut
1417,du
1418,ska x
1419,veta x
1420,att x
1421,jag x
1422,inte x
1423,glömt
1424,det
1425,finns x
1426,bilder x
1427,som x
1428,aldrig x
1429,suddas x
1430,ut
1431,jag
1432,har x
1433,suttit x
1434,med x
1435,vänner x
1436,på x
1437,en x
1438,stökig x
1439,restaurang
1440,och
1441,kommit x
1442,på x
1443,mig x
1444,själv x
1445,vara x
1446,nån x
1447,annanstans
1448,en
1449,del x
1450,av x
1451,mitt x
1452,hjärta x
1453,kommer x
1454,alltid x
1455,slå x
1456,för x
1457,dig
1458,en
1459,del x
1460,av x
1461,mitt x
1462,hjärta x
1463,kommer x
1464,alltid x
1465,slå x
1466,för x
1467,dig
1468,jag
1469,förstod x
1470,aldrig x
1471,riktigt
1472,vad
1473,som x
1474,hände x
1475,den x
1476,där x
1477,gången
1478,förutom
1479,att x
1480,allt x
1481,blev x
1482,fel
1483,det
1484,fanns x
1485,så x
1486,mycket x
1487,kvar x
1488,att x
1489,ge
1490,det
1491,fanns x
1492,kärlek x
1493,mellan x
1494,oss
1495,varför
1496,packa x
1497,du x
1498,din x
1499,väska x
1500,istället x
1501,för x
1502,att x
1503,du
1504,ska x
1505,veta x
1506,att x
1507,jag x
1508,saknar x
1509,dig
1510,det
1511,finns x
1512,känslor x
1513,som x
1514,aldrig x
1515,tar x
1516,slut
1517,du
1518,ska x
1519,veta x
1520,att x
1521,jag x
1522,inte x
1523,glömt
1524,det
1525,finns x
1526,bilder x
1527,som x
1528,aldrig x
1529,suddas x
1530,ut
1531,du
1532,ska x
1533,veta x
1534,att x
1535,jag x
1536,saknar x
1537,dig
1538,det
1539,finns x
1540,känslor x
1541,som x
1542,aldrig x
1543,tar x
1544,slut
1545,du
1546,ska x
1547,veta x
1548,att x
1549,jag x
1550,inte x
1551,glömt
1552,det
1553,finns x
1554,bilder x
1555,som x
1556,aldrig x
1557,suddas x
1558,ut
1559,jag
1560,har x
1561,fått x
1562,för x
1563,mig x
1564,att x
1565,jag x
1566,sett x
1567,dig
1568,jag
1569,har x
1570,ropat x
1571,ditt x
1572,namn
1573,jag
1574,har x
1575,sprungit x
1576,rakt x
1577,fram x
1578,mot x
1579,en x
1580,främmande x
1581,famn
1582,en
1583,del x
1584,av x
1585,mitt x
1586,hjärta x
1587,kommer x
1588,alltid x
1589,slå x
1590,för x
1591,dig
1592,en
1593,del x
1594,av x
1595,mitt x
1596,hjärta x
1597,kommer x
1598,alltid x
1599,slå x
1600,för x
1601,dig
1602,en
1603,del x
1604,av x
1605,mitt x
1606,hjärta
1607,kommer
1608,alltid x
1609,slå x
1610,för x
1611,dig
1612,en
1613,del x
1614,av x
1615,mitt x
1616,hjärta'
1617,'produced
1618,by x
1619,dre y1
1620,Scott x
1621,Storch x
1622,and x
1623,Snoop x
1624,Dogg x
1625,yeah y1
1626,nigga y1
1627,we're
1628,still x
1629,fuckin'
1630,wit'
1631,you
1632,still
1633,waters x
1634,run x
1635,deep
1636,still
1637,Snoop x
1638,Dogg x
1639,and x
1640,'99 y2
1641,nigga y1
1642,guess x
1643,who's
1644,back y1
1645,still y1
1646,still x
1647,doin'
1648,that x
1649,shit y1
1650,huh y1
1651,oh
1652,for x
1653,sho'
1654,yeah
1655,check
1656,me x
1657,out
1658,Dre x
1659,Snoop x
1660,it's
1661,still x
1662,Dre x
1663,Day x
1664,nigga y1
1665,AK x
1666,nigga
1667,though
1668,i've
1669,grown x
1670,a x
1671,lot y1
1672,can't
1673,keep x
1674,it x
1675,home x
1676,a x
1677,lot
1678,'cause
1679,when x
1680,I x
1681,frequent x
1682,the x
1683,spots x
1684,that x
1685,i'm
1686,known x
1687,to x
1688,rock
1689,you
1690,hear x
1691,the x
1692,bass x
1693,from x
1694,the x
1695,truck x
1696,when x
1697,i'm
1698,on x
1699,the x
1700,block
1701,ladies
1702,they x
1703,pay x
1704,homage y1
1705,but x
1706,haters x
1707,say x
1708,Dre x
1709,fell x
1710,off
1711,nigga y1
1712,my x
1713,last x
1714,album x
1715,was x
1716,The x
1717,Chronic x
1718,they
1719,wanna x
1720,know x
1721,if x
1722,he x
1723,still x
1724,got x
1725,it
1726,they
1727,say x
1728,rap's
1729,changed y1
1730,they x
1731,wanna x
1732,know x
1733,how x
1734,I x
1735,feel x
1736,about x
1737,it
1738,you x
1739,ain't
1740,up x
1741,on x
1742,Dre x
1743,is x
1744,the x
1745,name y1
1746,i'm
1747,ahead x
1748,of x
1749,my x
1750,game
1751,still
1752,puffin'
1753,my x
1754,leaves y1
1755,still x
1756,fuck x
1757,with x
1758,the x
1759,beats
1760,still
1761,not x
1762,lovin'
1763,police x
1764,still
1765,rock x
1766,my x
1767,khakis x
1768,with x
1769,a x
1770,cuff x
1771,and x
1772,a x
1773,crease x
1774,sho')
1775,still
1776,got x
1777,love x
1778,for x
1779,the x
1780,streets y1
1781,reppin'
1782,still
1783,the x
1784,beats x
1785,bang y1
1786,still x
1787,doin'
1788,my x
1789,thang
1790,since
1791,I x
1792,left x
1793,ain't
1794,too x
1795,much x
1796,changed y1
1797,still
1798,Snoop x
1799,Dogg x
1800,i'm
1801,representin'
1802,for x
1803,them x
1804,gangstas x
1805,all x
1806,across x
1807,the x
1808,world
1809,hittin'
1810,them x
1811,corners x
1812,in x
1813,them x
1814,girl
1815,still
1816,takin'
1817,my x
1818,time x
1819,to x
1820,perfect x
1821,the x
1822,beat
1823,and
1824,I x
1825,still x
1826,got x
1827,love x
1828,for x
1829,the x
1830,streets y1
1831,it's
1832,the x
1833,i'm
1834,representin'
1835,for x
1836,them x
1837,gangstas x
1838,all x
1839,across x
1840,the x
1841,world
1842,hittin'
1843,them x
1844,corners x
1845,in x
1846,them x
1847,girl
1848,still
1849,takin'
1850,my x
1851,time x
1852,to x
1853,perfect x
1854,the x
1855,beat
1856,and
1857,I x
1858,still x
1859,got x
1860,love x
1861,for x
1862,the x
1863,streets y1
1864,it's
1865,the x
1866,since
1867,the x
1868,last x
1869,time x
1870,you x
1871,heard x
1872,from x
1873,me x
1874,I x
1875,lost x
1876,some x
1877,friends y1
1878,well y1
1879,hell y1
1880,me x
1881,and x
1882,snoop y1
1883,we x
1884,dippin'
1885,again
1886,kept
1887,my x
1888,ear x
1889,to x
1890,the x
1891,streets y1
1892,signed x
1893,eminem
1894,he's
1895,triple x
1896,platinum y1
1897,doin'
1898,a x
1899,week y1
1900,still y1
1901,I x
1902,stay x
1903,close x
1904,to x
1905,the x
1906,heat
1907,and
1908,even x
1909,when x
1910,I x
1911,was x
1912,close x
1913,to x
1914,defeat y1
1915,I x
1916,rose x
1917,to x
1918,my x
1919,feet
1920,my
1921,life's
1922,like x
1923,a x
1924,soundtrack x
1925,I x
1926,wrote x
1927,to x
1928,the x
1929,beat
1930,treat
1931,rap x
1932,like x
1933,Cali x
1934,I x
1935,smoke x
1936,'til
1937,i'm
1938,'sleep
1939,wake
1940,up x
1941,in x
1942,the x
1943,compose x
1944,a x
1945,beat
1946,i
1947,bring x
1948,the x
1949,fire x
1950,'til
1951,you're
1952,soakin'
1953,in x
1954,your x
1955,seat
1956,it's
1957,not x
1958,a x
1959,fluke y1
1960,it's
1961,been x
1962,tried y1
1963,i'm
1964,the x
