danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,genre
0.448,0.948,0.0,-4.541,1.0,0.0541,0.325,0.156,0.22,0.628,144.981,audio_features,78c4LV6md4FJve2uQC4MeL,spotify:track:78c4LV6md4FJve2uQC4MeL,https://api.spotify.com/v1/tracks/78c4LV6md4FJve2uQC4MeL,https://api.spotify.com/v1/audio-analysis/78c4LV6md4FJve2uQC4MeL,180760,3,Mind Binoculars,Doc Talk Shock,folk
0.604,0.85,9.0,-3.587,1.0,0.0665,0.00179,0.0282,0.535,0.466,128.123,audio_features,24Rt28AO3fHK3Svg2fDsmV,spotify:track:24Rt28AO3fHK3Svg2fDsmV,https://api.spotify.com/v1/tracks/24Rt28AO3fHK3Svg2fDsmV,https://api.spotify.com/v1/audio-analysis/24Rt28AO3fHK3Svg2fDsmV,165049,4,What It Feels Like,Thomas Gold,electronic
0.637,0.935,6.0,-4.993,1.0,0.416,0.0169,0.0,0.0989,0.391,154.222,audio_features,29h0MOiajccVSMUiddzzuY,spotify:track:29h0MOiajccVSMUiddzzuY,https://api.spotify.com/v1/tracks/29h0MOiajccVSMUiddzzuY,https://api.spotify.com/v1/audio-analysis/29h0MOiajccVSMUiddzzuY,208407,4,??GO (GO),G-DRAGON,popular
0.583,0.612,2.0,-6.122,1.0,0.0295,0.0248,0.00482,0.347,0.261,128.042,audio_features,6si94VjqbR12KolNGLzpmN,spotify:track:6si94VjqbR12KolNGLzpmN,https://api.spotify.com/v1/tracks/6si94VjqbR12KolNGLzpmN,https://api.spotify.com/v1/audio-analysis/6si94VjqbR12KolNGLzpmN,303750,4,Move,Axero,electronic
0.681,0.864,8.0,-4.3,0.0,0.116,0.0208,3.98e-06,0.192,0.479,90.008,audio_features,1jLsirPDkUS2g4gnkYua58,spotify:track:1jLsirPDkUS2g4gnkYua58,https://api.spotify.com/v1/tracks/1jLsirPDkUS2g4gnkYua58,https://api.spotify.com/v1/audio-analysis/1jLsirPDkUS2g4gnkYua58,210288,4,Ignite,Alan Walker,electronic
