danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date,lyrics_filtered,valence_lyrics,arousal_lyrics,dominance_lyrics
0.326,0.0356,10.0,-25.08,0.0,0.0561,0.995,0.897,0.137,0.0367,112.99,audio_features,spotify:track:3TIQqIt23A3OmE9ZGOZ7vs,https://api.spotify.com/v1/tracks/3TIQqIt23A3OmE9ZGOZ7vs,https://api.spotify.com/v1/audio-analysis/3TIQqIt23A3OmE9ZGOZ7vs,217301,4,Walk Away,Rogerio Tutti,Immersion,3TIQqIt23A3OmE9ZGOZ7vs,spotify:artist:61GsjGqw1jFuO63RjJ8JZS,[],[None],38.0,2020-02-05,Error: No lyrics found,0.0,0.0,0.0
0.261,0.0149,1.0,-27.528,1.0,0.0419,0.992,0.897,0.102,0.0382,75.296,audio_features,spotify:track:2d6ml9Qkx8r4EjuUyrdpRV,https://api.spotify.com/v1/tracks/2d6ml9Qkx8r4EjuUyrdpRV,https://api.spotify.com/v1/audio-analysis/2d6ml9Qkx8r4EjuUyrdpRV,286987,4,"Nocturne No.1 In B Flat Minor, Op.9 No.1",Frédéric Chopin,Chopin: Nocturnes,2d6ml9Qkx8r4EjuUyrdpRV,spotify:artist:7y97mc3bZRFXzT2szRM4L4,"['classical', 'early romantic era', 'polish classical']",[''],65.0,2005-01-01,Error: No lyrics found,0.0,0.0,0.0
0.354,0.0125,4.0,-27.577,0.0,0.0443,0.995,0.959,0.0782,0.0691,98.211,audio_features,spotify:track:6q5co1XdRmnMeWlL1RWXPK,https://api.spotify.com/v1/tracks/6q5co1XdRmnMeWlL1RWXPK,https://api.spotify.com/v1/audio-analysis/6q5co1XdRmnMeWlL1RWXPK,220560,4,Gnossienne No. 1 (Arr. Kleynjans),Kaori Muraji,Lumieres,6q5co1XdRmnMeWlL1RWXPK,spotify:artist:1NBiTq7dgcI4yWrz5evt9P,"['classical guitar', 'japanese classical performance', 'japanese guitar']",[''],49.0,2005-01-01,Error: No lyrics found,0.0,0.0,0.0
0.281,0.0131,9.0,-28.85,1.0,0.0361,0.99,0.921,0.0875,0.0741,72.744,audio_features,spotify:track:3iGGRjfZXYoYqYxNEYYbBX,https://api.spotify.com/v1/tracks/3iGGRjfZXYoYqYxNEYYbBX,https://api.spotify.com/v1/audio-analysis/3iGGRjfZXYoYqYxNEYYbBX,272133,4,Deux Arabesques: No. 1,Kathryn Stott,Debussy And Ravel Piano Music,3iGGRjfZXYoYqYxNEYYbBX,spotify:artist:7JmDqds7Y1LRSWZVM8e0Og,"['british classical piano', 'classical performance']",[''],42.0,1995,Error: No lyrics found,0.0,0.0,0.0
0.335,0.0118,1.0,-23.89,1.0,0.0406,0.992,0.933,0.085,0.0805,91.146,audio_features,spotify:track:5wDBBKEIiDYwPQj4SpbBPI,https://api.spotify.com/v1/tracks/5wDBBKEIiDYwPQj4SpbBPI,https://api.spotify.com/v1/audio-analysis/5wDBBKEIiDYwPQj4SpbBPI,290933,4,"24 Préludes, Op. 28: No. 15 in D-Flat Major: Sostenuto",Frédéric Chopin,Chopin: Preludes; Sonata No.2,5wDBBKEIiDYwPQj4SpbBPI,spotify:artist:7y97mc3bZRFXzT2szRM4L4,"['classical', 'early romantic era', 'polish classical']",[''],48.0,2002-01-01,Error: No lyrics found,0.0,0.0,0.0
