danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,genre
0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,audio_features,0lYBSQXN6rCTvUZvg9S0lU,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,205947,4,Let Me Love You,DJ Snake,popular
0.726,0.78,11.0,-6.312,0.0,0.0414,0.137,0.914,0.0985,0.0742,119.991,audio_features,3S2XkZJH5P3AqYk8ChYsWB,spotify:track:3S2XkZJH5P3AqYk8ChYsWB,https://api.spotify.com/v1/tracks/3S2XkZJH5P3AqYk8ChYsWB,https://api.spotify.com/v1/audio-analysis/3S2XkZJH5P3AqYk8ChYsWB,242016,4,Friendships,Pascal Letoublon,electronic
0.574,0.506,9.0,-7.578,0.0,0.0345,0.733,0.0,0.106,0.596,111.118,audio_features,2BXqkdNexSZDk9tD6frccY,spotify:track:2BXqkdNexSZDk9tD6frccY,https://api.spotify.com/v1/tracks/2BXqkdNexSZDk9tD6frccY,https://api.spotify.com/v1/audio-analysis/2BXqkdNexSZDk9tD6frccY,248341,4,A都市の秋,Lamp,rnb
0.667,0.716,1.0,-5.21,0.0,0.0349,0.189,0.0,0.104,0.493,108.002,audio_features,4Qrxdjj3nFhjrqcnUU5r6a,spotify:track:4Qrxdjj3nFhjrqcnUU5r6a,https://api.spotify.com/v1/tracks/4Qrxdjj3nFhjrqcnUU5r6a,https://api.spotify.com/v1/audio-analysis/4Qrxdjj3nFhjrqcnUU5r6a,255507,4,Shine,Years & Years,popular
0.576,0.835,2.0,-6.826,1.0,0.0486,0.337,0.0,0.082,0.476,150.017,audio_features,0M3HkE321xpCbCYqVKzr1q,spotify:track:0M3HkE321xpCbCYqVKzr1q,https://api.spotify.com/v1/tracks/0M3HkE321xpCbCYqVKzr1q,https://api.spotify.com/v1/audio-analysis/0M3HkE321xpCbCYqVKzr1q,257720,4,It Will Rain,Bruno Mars,popular
