danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,genre
0.602,0.905,2.0,-4.046,1.0,0.0775,0.000202,0.064,0.117,0.411,128.019,audio_features,4VqPOruhp5EdPBeR92t6lQ,spotify:track:4VqPOruhp5EdPBeR92t6lQ,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ,https://api.spotify.com/v1/audio-analysis/4VqPOruhp5EdPBeR92t6lQ,304840,4,Uprising,Muse,absolute music
0.527,0.835,6.0,-5.298,1.0,0.0433,0.0166,0.0,0.249,0.654,125.983,audio_features,0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658,4,The Nights,Avicii,electronic
0.532,0.754,1.0,-6.834,0.0,0.223,0.0697,0.0,0.061,0.717,90.992,audio_features,0GJbfGoCNAE0SafM9LW0nF,spotify:track:0GJbfGoCNAE0SafM9LW0nF,https://api.spotify.com/v1/tracks/0GJbfGoCNAE0SafM9LW0nF,https://api.spotify.com/v1/audio-analysis/0GJbfGoCNAE0SafM9LW0nF,184615,4,VHS - Spotify Studio It’s Hits Recording,Benjamin Ingrosso,absolute music
0.735,0.847,2.0,-2.689,1.0,0.0681,0.0475,0.0,0.122,0.332,110.06,audio_features,0BBUGRUURDjwcXmDS3kQkN,spotify:track:0BBUGRUURDjwcXmDS3kQkN,https://api.spotify.com/v1/tracks/0BBUGRUURDjwcXmDS3kQkN,https://api.spotify.com/v1/audio-analysis/0BBUGRUURDjwcXmDS3kQkN,178213,4,Atlantis,SHINee,popular
0.681,0.864,8.0,-4.3,0.0,0.116,0.0208,3.98e-06,0.192,0.479,90.008,audio_features,1jLsirPDkUS2g4gnkYua58,spotify:track:1jLsirPDkUS2g4gnkYua58,https://api.spotify.com/v1/tracks/1jLsirPDkUS2g4gnkYua58,https://api.spotify.com/v1/audio-analysis/1jLsirPDkUS2g4gnkYua58,210288,4,Ignite,Alan Walker,electronic
