danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date,lyrics_filtered,valence_lyrics,arousal_lyrics,dominance_lyrics
0.619,0.781,5.0,-7.455,0.0,0.0393,0.0243,0.000286,0.402,0.533,126.267,audio_features,spotify:track:6XOINCZBv8Q7RXgNNiTwIN,https://api.spotify.com/v1/tracks/6XOINCZBv8Q7RXgNNiTwIN,https://api.spotify.com/v1/audio-analysis/6XOINCZBv8Q7RXgNNiTwIN,236583,4,A Girl Like You,Edwyn Collins,Gorgeous George,6XOINCZBv8Q7RXgNNiTwIN,spotify:artist:5Qlt3zQ63Z99mNhuun0JAT,"['britpop', 'scottish new wave', 'solo wave']","[""[Verse 1]\nI've never known a girl like you before\nNow, just like in a song from days of yore\nHere you come a-knocking, knocking on my door\nAnd I've never met a girl like you before\n\n[Guitar Solo]\n\n[Verse 2]\nYou give me just a taste so I want more\nNow my hands are bleeding and my knees are raw\n'Cause now you got me crawling, crawling on the floor\nAnd I've never known a girl like you before\n\n[Guitar Solo]\n[Pre-Chorus]\nYou made me acknowledge the devil in me\nI hope to God I'm talking metaphorically\nHope that I'm talking allegorically\nKnow that I'm talking 'bout the way I feel\n\n[Chorus]\nAnd I've never known a girl like you before\nNever, never, never, never\nNever known a girl like you before\n\n[Guitar Solo]\n\n[Verse 3]\nThis old town's changed so much\nDon't feel that I belong\nToo many protest singers\nNot enough protest songs\nAnd now you've come along\nYes, you've come along\nAnd I've never met a girl like you before\n\n[Outro]\n(It's alright, yeah, it's alright, yeah, it's alright, yeah, it's alright\nYeah, it's alright, yeah, it's alright, yeah, it's alright, yeah, it's alright\nYeah, it's alright, yeah, it's alright, yeah, it's alright, yeah, it's alright\nYeah, it's alright, yeah, it's alright, yeah, it's alright, yeah, it's alright\nYeah, it's alright, yeah, it's alright, yeah, it's alright, yeah, it's alright\nYeah, it's alright, yeah, it's alright, yeah, it's alright, yeah, it's alright\nYeah, it's alright, yeah, it's alright, yeah, it's alright, yeah, it's alright)""]",65.0,1994,i've never known girl like like song days yore come a-knocking knocking door i've never met girl like [guitar solo] give taste want hands bleeding knees raw 'cause got crawling crawling floor i've never known girl like [guitar solo] made acknowledge devil hope god i'm talking metaphorically hope i'm talking allegorically know i'm talking 'bout way feel i've never known girl like never never never never never known girl like [guitar solo] old town's changed much feel belong many protest singers enough protest songs come along yes come along i've never met girl like alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright yeah alright,2.2481132075471697,1.606415094339623,2.124339622641509
0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4,Havana (feat. Young Thug),Camila Cabello,Camila,1rfofaqEpACxVEHIZBJe6W,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop', 'post-teen pop']","['[Intro: Pharrell Williams]\nHey\n\n[Chorus: Camila Cabello &amp; Pharrell Williams]\nHavana, ooh na-na (Ayy)\nHalf of my heart is in Havana, ooh na-na (Ayy, ayy)\nHe took me back to East Atlanta, na-na-na, ah\nOh, but my heart is in Havana (Ayy)\nThere\'s somethin\' \'bout his manners (Uh-huh)\nHavana, ooh na-na (Uh)\n\n[Verse 1: Camila Cabello &amp; Pharrell Williams]\nHe didn\'t walk up with that ""how you doin\'?"" (Uh)\nWhen he came in the room\nHe said there\'s a lot of girls I can do with (Uh)\nBut I can\'t without you\nI knew him forever in a minute (Hey)\nThat summer night in June\nAnd papa says he got malo in him (Uh)\nHe got me feelin\' like...\n[Pre-Chorus: Camila Cabello &amp; Pharrell Williams]\nOoh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Ayy)\nI knew it when I met him (Ayy), I loved him when I left him\nGot me feelin\' like, ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh\nAnd then I had to tell him, I had to go\nOh na-na-na-na-na (Woo)\n\n[Chorus: Camila Cabello &amp; Pharrell Williams]\nHavana, ooh na-na (Ayy, hey)\nHalf of my heart is in Havana, ooh na-na (Ayy, ayy, uh-huh)\nHe took me back to East Atlanta, na-na-na\nOh, but my heart is in Havana (Huh)\nMy heart is in Havana (Ayy)\nHavana, ooh na-na\n\n[Verse 2: Young Thug]\n(Jeffery)\nJust graduated, fresh on campus, mmm\nFresh out East Atlanta with no manners, damn (Fresh out East Atlanta)\nBump on her bumper like a traffic jam\nHey, I was quick to pay that girl like Uncle Sam (Here you go, ayy)\nBack it on me (Back it up)\nShawty cravin\' on me, get to eatin\' on me (On me)\nShe waited on me (And what?)\nShawty cakin\' on me, got the bacon on me (Wait up)\nThis is history in the makin\', homie (Homie)\nPoint blank, close range, that B (Tah, tah)\nIf it cost a million, that\'s me (That\'s me)\nI was gettin\' mula, baby\n\n[Chorus: Camila Cabello &amp; Pharrell Williams]\nHavana, ooh na-na (Ayy, ayy)\nHalf of my heart is in Havana, ooh na-na (Oh, ayy, ayy, uh-huh)\nHe took me back to East Atlanta, na-na-na (Oh, no)\nOh, but my heart is in Havana (Huh)\nMy heart is in Havana (Ayy)\nHavana, ooh na-na\n\n[Bridge: Starrah &amp; Camila Cabello]\nOoh na-na, oh, na-na-na (Ooh, ooh-ooh-ooh-ooh-ooh-ooh)\nTake me back, back, back like...\nOoh na-na, oh, na-na-na (Yeah, babe)\nTake me back, back, back like...\nOoh na-na, oh, na-na-na (Yeah, yeah)\nTake me back, back, back like...\nOoh na-na, oh, na-na-na (Yeah, babe)\nTake me back, back, back\nHey, hey...\nOoh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey)\nOoh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey)\nTake me back to my Havana...\n\n[Chorus: Camila Cabello &amp; Pharrell Williams]\nHavana, ooh na-na\nHalf of my heart is in Havana, ooh na-na (Oh, yeah)\nHe took me back to East Atlanta, na-na-na (Ayy, ayy)\nOh, but my heart is in Havana\nMy heart is in Havana (Ayy)\nHavana, ooh na-na (Uh-huh)\n\n[Outro: Starrah &amp; Camila Cabello]\nOh, na-na-na (Oh, na, yeah)\nOh, na-na-na\nOh, na-na-na (No, no, no, take me back)\nOh, na-na-na\nHavana, ooh na-na']",82.0,2018-01-12,"hey havana ooh na-na ayy half heart havana ooh na-na ayy ayy took back east atlanta na-na-na ah oh heart havana ayy there's somethin' 'bout manners uh-huh havana ooh na-na uh walk ""how doin'?"" uh came room said there's lot girls uh can't without knew forever minute hey summer night june papa says got malo uh got feelin' like... ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh ayy knew met ayy loved left got feelin' like ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh tell go oh na-na-na-na-na woo havana ooh na-na ayy hey half heart havana ooh na-na ayy ayy uh-huh took back east atlanta na-na-na oh heart havana huh heart havana ayy havana ooh na-na jeffery graduated fresh campus mmm fresh east atlanta manners damn fresh east atlanta bump bumper like traffic jam hey quick pay girl like uncle sam go ayy back back shawty cravin' get eatin' waited what? shawty cakin' got bacon wait history makin' homie homie point blank close range b tah tah cost million that's that's gettin' mula baby havana ooh na-na ayy ayy half heart havana ooh na-na oh ayy ayy uh-huh took back east atlanta na-na-na oh oh heart havana huh heart havana ayy havana ooh na-na ooh na-na oh na-na-na ooh ooh-ooh-ooh-ooh-ooh-ooh take back back back like... ooh na-na oh na-na-na yeah babe take back back back like... ooh na-na oh na-na-na yeah yeah take back back back like... ooh na-na oh na-na-na yeah babe take back back back hey hey... ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh hey ooh ooh-ooh-ooh-ooh-ooh-ooh-ooh hey take back havana... havana ooh na-na half heart havana ooh na-na oh yeah took back east atlanta na-na-na ayy ayy oh heart havana heart havana ayy havana ooh na-na uh-huh oh na-na-na oh na yeah oh na-na-na oh na-na-na take back oh na-na-na havana ooh na-na",2.3055102040816333,1.6098979591836735,2.137448979591837
0.635,0.435,3.0,-7.521,1.0,0.031,0.00328,6.78e-06,0.071,0.459,76.098,audio_features,spotify:track:4YPhn26bIFm2KUkL1VLzQG,https://api.spotify.com/v1/tracks/4YPhn26bIFm2KUkL1VLzQG,https://api.spotify.com/v1/audio-analysis/4YPhn26bIFm2KUkL1VLzQG,256880,4,Say It Ain't So,Weezer,Weezer (Deluxe Edition),4YPhn26bIFm2KUkL1VLzQG,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']","['[Intro]\nOh, yeah\nAlright\n\n[Verse 1]\nSomebody\'s Heine\nIs crowding my icebox\nSomebody\'s cold one\nIs giving me chills\nGuess I\'ll just close my eyes\n\n[Pre-Chorus]\nOh, yeah\nAlright\nFeels good\nInside\n[Verse 2]\nFlip on the telly\nWrestle with Jimmy\nSomethin\' is bubblin\'\nBehind my back\nThe bottle is ready to blow\n\n[Chorus]\nSay it ain\'t so\nYour drug is a heartbreaker\nSay it ain\'t so\nMy love is a life taker\n\n[Verse 3]\nI can\'t confront you\nI never could do\nThat which might hurt you\nSo try and be cool\nWhen I say\n""This way\nIs a water slide away from me that takes you further every day""\nSo be cool\n\n[Chorus]\nSay it ain\'t so\nYour drug is a heartbreaker\nSay it ain\'t so\nMy love is a life taker\n\n[Bridge]\nDear daddy, I write you\nIn spite of years of silence\nYou\'ve cleaned up, found Jesus\nThings are good, or so I hear\nThis bottle of Stephen\'s\nAwakens ancient feelin\'s\nLike father, stepfather\nThe son is drowning in the flood\nYeah, yeah-yeah, yeah-yeah\n\n[Guitar Solo]\n\n[Chorus]\nSay it ain\'t so\nYour drug is a heartbreaker\nSay it ain\'t so\nMy love is a life taker']",0.0,1994-05-10,"oh yeah alright somebody's heine crowding icebox somebody's cold one giving chills guess i'll close eyes oh yeah alright feels good inside flip telly wrestle jimmy somethin' bubblin' behind back bottle ready blow say ain't drug heartbreaker say ain't love life taker can't confront never could might hurt try cool say ""this way water slide away takes every day"" cool say ain't drug heartbreaker say ain't love life taker dear daddy write spite years silence cleaned found jesus things good hear bottle stephen's awakens ancient feelin's like father stepfather son drowning flood yeah yeah-yeah yeah-yeah [guitar solo] say ain't drug heartbreaker say ain't love life taker",2.6894736842105265,1.893684210526316,2.5518421052631584
0.624,0.91,0.0,-5.703,1.0,0.0297,0.0285,0.000198,0.0789,0.767,104.042,audio_features,spotify:track:7kzKAuUzOITUauHAhoMoxA,https://api.spotify.com/v1/tracks/7kzKAuUzOITUauHAhoMoxA,https://api.spotify.com/v1/audio-analysis/7kzKAuUzOITUauHAhoMoxA,193051,4,Last Nite,The Strokes,Is This It,7kzKAuUzOITUauHAhoMoxA,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']","['[Verse 1]\nLast night, she said\n""Oh, baby, I feel so down\nOh, it turns me off\nWhen I feel left out""\nSo I, I turned \'round\nOh, baby, don\'t care no more\nI know this for sure\nI\'m walking out that door\n\n[Bridge]\nWell, I\'ve been in town for just \'bout fifteen, oh, minutes now\nAnd baby, I feel so down\nAnd I don\'t know why\nI keep walking for miles\n[Chorus 1]\nAnd say, people, they don\'t understand\nNo, girlfriends, they can\'t understand\nYour grandsons, they won\'t understand\nOn top of this, I ain\'t ever gonna understand\n\n[Verse 2]\nLast night, she said\n""Oh, baby, don\'t feel so down\nOh, it turns me off\nWhen I feel left out""\nSo I, I turned \'round\nOh, baby, gonna be alright\nIt was a great big lie\n\'Cause I left that night, yeah\n\n[Instrumental Bridge]\n\n[Chorus 2]\nOh, people, they don\'t understand\nNo, girlfriends, they don\'t understand\nIn spaceships, they won\'t understand\nAnd me, I ain\'t ever gonna understand\n\n[Verse 1]\nLast night, she said\n""Oh, baby, I feel so down\nSee, it turns me off\nWhen I feel left out""\nSo I, I turned \'round\nOh, little girl, I don\'t care no more\nI know this for sure\nI\'m walking out that door, yeah']",75.0,2001-07-30,"last night said ""oh baby feel oh turns feel left out"" turned 'round oh baby care know sure i'm walking door well i've town 'bout fifteen oh minutes baby feel know keep walking miles [chorus 1] say people understand girlfriends can't understand grandsons understand top ain't ever gonna understand last night said ""oh baby feel oh turns feel left out"" turned 'round oh baby gonna alright great big lie 'cause left night yeah [instrumental bridge] [chorus 2] oh people understand girlfriends understand spaceships understand ain't ever gonna understand last night said ""oh baby feel see turns feel left out"" turned 'round oh little girl care know sure i'm walking door yeah",2.395098039215686,1.543529411764706,2.2652941176470587
0.413,0.85,2.0,-5.593,1.0,0.0362,0.00228,0.0,0.124,0.481,174.423,audio_features,spotify:track:5bj4hb0QYTs44PDiwbI5CS,https://api.spotify.com/v1/tracks/5bj4hb0QYTs44PDiwbI5CS,https://api.spotify.com/v1/audio-analysis/5bj4hb0QYTs44PDiwbI5CS,258907,4,Wonderwall,Oasis,(What's The Story) Morning Glory,5bj4hb0QYTs44PDiwbI5CS,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']","[""[Verse 1]\nToday is gonna be the day that they're gonna throw it back to you\nBy now, you shoulda somehow realised what you gotta do\nI don't believe that anybody feels the way I do about you now\n\n[Verse 2]\nBackbeat, the word is on the street that the fire in your heart is out\nI'm sure you've heard it all before, but you never really had a doubt\nI don't believe that anybody feels the way I do about you now\n\n[Pre-Chorus]\nAnd all the roads we have to walk are winding\nAnd all the lights that lead us there are blinding\nThere are many things that I would like to say to you\nBut I don't know how\n[Chorus]\nBecause maybe\nYou're gonna be the one that saves me\nAnd after all\nYou're my wonderwall\n\n[Verse 3]\nToday was gonna be the day, but they'll never throw it back to you\nBy now, you should've somehow realised what you're not to do\nI don't believe that anybody feels the way I do about you now\n\n[Pre-Chorus]\nAnd all the roads that lead you there were winding\nAnd all the lights that light the way are blinding\nThere are many things that I would like to say to you\nBut I don't know how\n\n[Chorus]\nI said maybe\nYou're gonna be the one that saves me\nAnd after all\nYou're my wonderwall\nI said maybe (I said maybe)\nYou're gonna be the one that saves me\nAnd after all\nYou're my wonderwall\n\n[Outro]\nI said maybe (I said maybe)\nYou're gonna be the one that saves me (Saves me)\nYou're gonna be the one that saves me (Saves me)\nYou're gonna be the one that saves me (Saves me)""]",0.0,1995-10-02,today gonna day they're gonna throw back shoulda somehow realised gotta believe anybody feels way backbeat word street fire heart i'm sure heard never really doubt believe anybody feels way roads walk winding lights lead us blinding many things would like say know maybe gonna one saves wonderwall today gonna day they'll never throw back somehow realised believe anybody feels way roads lead winding lights light way blinding many things would like say know said maybe gonna one saves wonderwall said maybe said maybe gonna one saves wonderwall said maybe said maybe gonna one saves saves gonna one saves saves gonna one saves saves,2.5795555555555554,1.7297777777777776,2.4713333333333334
