danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date,lyrics_filtered,valence_lyrics,arousal_lyrics,dominance_lyrics
0.63,0.53,0.0,-7.259,1.0,0.0434,0.4,0.0,0.177,0.417,108.038,audio_features,spotify:track:2YlZnw2ikdb837oKMKjBkW,https://api.spotify.com/v1/tracks/2YlZnw2ikdb837oKMKjBkW,https://api.spotify.com/v1/audio-analysis/2YlZnw2ikdb837oKMKjBkW,225053,3,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Title (Deluxe),2YlZnw2ikdb837oKMKjBkW,spotify:artist:6JL8zeS1NmiOftqZTRgdTz,"['dance pop', 'hip pop', 'pop', 'post-teen pop']","[""[Verse 1: Meghan Trainor]\nI found myself dreaming in silver and gold\nLike a scene from a movie that every broken heart knows\nWe were walking on moonlight, and you pulled me close\nSplit second and you disappeared and then I was all alone\nI woke up in tears, with you by my side\nA breath of relief, and I realized\nNo, we're not promised tomorrow\n\n[Chorus: Meghan Trainor]\nSo I'm gonna love you, like I'm gonna lose you\nI'm gonna hold you, like I'm saying goodbye\nWherever we're standing, I won't take you for granted\n'Cause we'll never know when, when we'll run out of time\nSo I'm gonna love you, like I'm gonna lose you (Lose you)\nI'm gonna love you, like I'm gonna lose you\n[Verse 2: John Legend, Meghan Trainor, Both]\nIn the blink of an eye, just a whisper of smoke\nYou could lose everything, the truth is you never know\nSo I'll kiss you longer, babe (Hey), any chance that I get\nI'll make the most of the minutes and love with no regret\nLet's take our time to say what we want (Say what we want)\nUse what we got before it's all gone (All gone)\n'Cause no (No), we're not promised tomorrow\n\n[Chorus: Meghan Trainor, John Legend, Both]\nSo I'm gonna love you, like I'm gonna lose you (Lose you)\nI'm gonna hold you (Hey), like I'm saying goodbye\nWherever we're standing (Yeah), I won't take you for granted\n'Cause we'll never know when, when we'll run out of time\nSo I'm gonna love you (I'm gonna love you), like I'm gonna lose you (Like I'm gonna lose you)\nI'm gonna love you (Love you), like I'm gonna lose you (Hey)\n\n[Outro: Meghan Trainor, John Legend, Both]\nI'm gonna love you (Oh), like I'm gonna lose you (Like I'm gonna lose you)\nI'm gonna hold you, like I'm saying goodbye\nWherever we're standing, I won't take you for granted\n'Cause we'll never know when, when we'll run out of time\nSo I'm gonna love you (I'm gonna love you, baby), like I'm gonna lose you (Like I'm gonna lose you)\nI'm gonna love you (Oh), like I'm gonna lose you""]",80.0,2015-01-09,found dreaming silver gold like scene movie every broken heart knows walking moonlight pulled close split second disappeared alone woke tears side breath relief realized we're promised tomorrow i'm gonna love like i'm gonna lose i'm gonna hold like i'm saying goodbye wherever we're standing take granted 'cause we'll never know we'll run time i'm gonna love like i'm gonna lose lose i'm gonna love like i'm gonna lose blink eye whisper smoke could lose everything truth never know i'll kiss longer babe hey chance get i'll make minutes love regret let's take time say want say want use got gone gone 'cause we're promised tomorrow i'm gonna love like i'm gonna lose lose i'm gonna hold hey like i'm saying goodbye wherever we're standing yeah take granted 'cause we'll never know we'll run time i'm gonna love i'm gonna love like i'm gonna lose like i'm gonna lose i'm gonna love love like i'm gonna lose hey i'm gonna love oh like i'm gonna lose like i'm gonna lose i'm gonna hold like i'm saying goodbye wherever we're standing take granted 'cause we'll never know we'll run time i'm gonna love i'm gonna love baby like i'm gonna lose like i'm gonna lose i'm gonna love oh like i'm gonna lose,3.084929577464788,2.242394366197183,2.9067605633802813
0.654,0.623,6.0,-5.273,0.0,0.082,0.253,0.0,0.144,0.401,123.996,audio_features,spotify:track:3lSDIJ2abCrOdDJ6pshUap,https://api.spotify.com/v1/tracks/3lSDIJ2abCrOdDJ6pshUap,https://api.spotify.com/v1/audio-analysis/3lSDIJ2abCrOdDJ6pshUap,234213,4,Close,Nick Jonas,Last Year Was Complicated,3lSDIJ2abCrOdDJ6pshUap,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi,"['dance pop', 'pop', 'post-teen pop']","[""[Verse 1: Nick Jonas]\nOh damn, oh damn, oh damn\nI'm so perplexed\nWith just one breath, I'm locked in (Locked in)\nOh damn, oh damn, oh damn\nI'm so perplexed, oh, that it's almost shocking (Shocking)\nI know, I know you know you're scared\nYour heart, your mind, your soul, your body (Your body), yeah\nThey won't, they won't, they won't be careful\nBut I guess that you don't know me (Know me)\n\n[Pre-Chorus: Nick Jonas]\n'Cause if I want you, then I want you, babe\nAin't going backwards, won't ask for space\n'Cause space was just a word made up by someone who's afraid to get too...\n[Chorus: Nick Jonas]\nClose, ooh\nOh, so close, ooh\nI want you close, ooh\n'Cause space was just a word made up by someone who's afraid to get close, ooh\nOh, so close, ooh\nI want you close, ooh\nOh, I want you close, that close ain't close enough, no\n\n[Verse 2: Tove Lo &amp; (Nick Jonas)]\nOh man, oh man\nI am not really known for ever being speechless\nBut now, but now somehow\nMy words roll off my tongue right onto your lips, oh\nI'm keeping cool while you keep smiling\nSaying all the things I'm thinking (I'll say, yeah)\nOh man, oh man\nI am like you so I want proof I'm what you're feeling (Oh)\n\n[Pre-Chorus: Tove Lo &amp; (Nick Jonas)]\n'Cause if I want you, then I want you, babe\nAin't going backwards (Going backwards), won't ask for space\n'Cause space is just a word made up by someone who's afraid to get too...\n\n[Chorus: Nick Jonas &amp; Tove Lo]\nClose, ooh (Ooh)\nOh, so close, ooh\nI want you close, ooh (Yeah baby)\n'Cause space was just a word made up by someone who's afraid to get close, ooh\nOh, so close, ooh\nI want you close, ooh (Ooh, boy, you)\nOh, I want you I want you close, that close ain't close enough, no\n\n[Pre-Chorus: Nick Jonas with Tove Lo]\n'Cause if I want you, then I want you, babe\nAin't going backwards, won't ask for space\n'Cause space was just a word made up by someone who's afraid to get too... close\n\n[Chorus: Nick Jonas &amp; Tove Lo]\nClose, ooh (Ooh)\nOh, so close, ooh\nI want you close, ooh (Baby, yeah)\n'Cause space was just a word made up by someone who's afraid to get close, ooh (So get close, baby)\nOh, so close, ooh\nI want you close, ooh (Eternally)\nOh, I want you close, and close ain't close enough, no\nYeah, baby, tell me, baby, what you want\nOh, I want you close, and close ain't close enough, no\n\n[Written by Tove Lo, Julia Michaels and Justin Tranter, and Mattman and Robin]""]",71.0,2016-06-10,oh damn oh damn oh damn i'm perplexed one breath i'm locked locked oh damn oh damn oh damn i'm perplexed oh almost shocking shocking know know know scared heart mind soul body body yeah careful guess know know 'cause want want babe ain't going backwards ask space 'cause space word made someone who's afraid get too... close ooh oh close ooh want close ooh 'cause space word made someone who's afraid get close ooh oh close ooh want close ooh oh want close close ain't close enough oh man oh man really known ever speechless somehow words roll tongue right onto lips oh i'm keeping cool keep smiling saying things i'm thinking i'll say yeah oh man oh man like want proof i'm feeling oh 'cause want want babe ain't going backwards going backwards ask space 'cause space word made someone who's afraid get too... close ooh ooh oh close ooh want close ooh yeah baby 'cause space word made someone who's afraid get close ooh oh close ooh want close ooh ooh boy oh want want close close ain't close enough 'cause want want babe ain't going backwards ask space 'cause space word made someone who's afraid get too... close close ooh ooh oh close ooh want close ooh baby yeah 'cause space word made someone who's afraid get close ooh get close baby oh close ooh want close ooh eternally oh want close close ain't close enough yeah baby tell baby want oh want close close ain't close enough [written tove lo julia michaels justin tranter mattman robin],2.745890410958904,1.9373972602739733,2.617534246575343
0.69,0.622,5.0,-5.025,0.0,0.0622,0.253,0.0,0.116,0.544,102.04,audio_features,spotify:track:6uBhi9gBXWjanegOb2Phh0,https://api.spotify.com/v1/tracks/6uBhi9gBXWjanegOb2Phh0,https://api.spotify.com/v1/audio-analysis/6uBhi9gBXWjanegOb2Phh0,210091,4,Stay,Zedd,Stay,6uBhi9gBXWjanegOb2Phh0,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']","[""[Verse 1]\nWaiting for the time to pass you by\nHope the winds of change will change your mind\nI could give a thousand reasons why\nAnd I know you, and you've got to\n\n[Pre-Chorus 1]\nMake it on your own, but we don't have to grow up\nWe can stay forever young\nLiving on my sofa, drinking rum and cola\nUnderneath the rising sun\nI could give a thousand reasons why\nBut you're going, and you know that\n\n[Chorus]\nAll you have to do is stay a minute\nJust take your time\nThe clock is ticking, so stay\nAll you have to do is wait a second\nYour hands on mine\nThe clock is ticking, so stay\n[Post-Chorus]\nAll you have to do is\nAll you have to do is stay\n\n[Verse 2]\nWon't admit what I already know\nI've never been the best at letting go\nI don't wanna spend the night alone\nGuess I need you, and I need to\n\n[Pre-Chorus 2]\nMake it on my own, but I don't wanna grow up\nWe can stay forever young\nLiving on my sofa, drinking rum and cola\nUnderneath the rising sun\nI could give a million reasons why\nBut I'm going, and you know that\n\n[Chorus]\nAll you have to do is stay a minute\nJust take your time\nThe clock is ticking, so stay\nAll you have to do is wait a second\nYour hands on mine\nThe clock is ticking, so stay\n\n[Post-Chorus]\nAll you have to do is\nAll you have to do is stay\n\n[Bridge]\nAll you have to do is stay\nSo stay, yeah\n\n[Chorus]\nAll you have to do is stay a minute\nJust take your time\nThe clock is ticking, so stay\nAll you have to do is wait a second\nYour hands on mine\nThe clock is ticking, so stay\nAll you have to do is stay""]",78.0,2017-02-23,waiting time pass hope winds change change mind could give thousand reasons know got [pre-chorus 1] make grow stay forever young living sofa drinking rum cola underneath rising sun could give thousand reasons going know stay minute take time clock ticking stay wait second hands mine clock ticking stay stay admit already know i've never best letting go wanna spend night alone guess need need [pre-chorus 2] make wanna grow stay forever young living sofa drinking rum cola underneath rising sun could give million reasons i'm going know stay minute take time clock ticking stay wait second hands mine clock ticking stay stay stay stay yeah stay minute take time clock ticking stay wait second hands mine clock ticking stay stay,3.2051851851851856,2.1422222222222222,2.916666666666666
0.693,0.575,9.0,-6.998,1.0,0.0801,0.374,0.0,0.252,0.492,117.999,audio_features,spotify:track:14sOS5L36385FJ3OL8hew4,https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4,https://api.spotify.com/v1/audio-analysis/14sOS5L36385FJ3OL8hew4,211362,4,Happy Now,Kygo,Happy Now,14sOS5L36385FJ3OL8hew4,spotify:artist:23fqKkggKUBHNkbKtXEls4,"['edm', 'pop', 'pop dance', 'tropical house']","['[Verse 1]\nWe don\'t wanna believe it, that it’s all gone\nIt\'s just a matter of minutes before the sun goes down\nWe\'re afraid to admit it, but I know you know, know that\nWe should’ve known better, but kept on trying\nAnd it\'s time that we see it, the fire\'s dying out\nCan\'t believe that I say this, we\'re out of chances now\nAnd I just want you to know that\n\n[Chorus]\nYou and me, it was good, but it wasn\'t right\nAnd it\'ll be hard, but I know I will make it out\nStep by step, I\'ll move on and get on with life\nSo I let go, and I hope you’ll be happy now\nYou and me, it was good, but it wasn’t right\nAnd it\'ll be hard, but I know I will make it out\nStep by step, I’ll move on and get on with life\nSo I let go, and I hope you\'ll be happy now\n[Post-Chorus]\nI hope you\'ll be happy now\nYeah, I hope you\'ll be happy now\nI hope you’ll be happy now\nYeah, I hope you\'ll be happy now\nYeah, I hope you\'ll be happy now\nI hope you\'ll be happy now\n\n[Verse 2]\nI thought we would make it if I just held on\nBut it\'s really crazy how love could fade so fast\nWe said ""forever,"" but now we\'re in the past\nAnd I just want you to know that\n\n[Chorus]\nYou and me, it was good, but it wasn\'t right\nAnd it\'ll be hard, but I know I will make it out\nStep by step, I\'ll move on and get on with life\nSo I let go, and I hope you\'ll be happy now\nYou and me, it was good, but it wasn\'t right\nAnd it\'ll be hard, but I know I will make it out\nStep by step, I\'ll move on and get on with life\nSo I let go, and I hope you\'ll be happy now\n\n[Post-Chorus]\nYeah, I hope you\'ll be happy now\nI hope you\'ll be happy now\nI hope you\'ll be happy now\nI hope you\'ll be happy now']",71.0,2018-10-26,"wanna believe it’s gone matter minutes sun goes we're afraid admit know know know should’ve known better kept trying time see fire's dying can't believe say we're chances want know good right it'll hard know make step step i'll move get life let go hope you’ll happy good wasn’t right it'll hard know make step step i’ll move get life let go hope happy hope happy yeah hope happy hope you’ll happy yeah hope happy yeah hope happy hope happy thought would make held really crazy love could fade fast said ""forever"" we're past want know good right it'll hard know make step step i'll move get life let go hope happy good right it'll hard know make step step i'll move get life let go hope happy yeah hope happy hope happy hope happy hope happy",3.109454545454545,2.193090909090909,2.875272727272727
0.707,0.629,0.0,-4.581,0.0,0.0563,0.259,1.6e-05,0.138,0.457,122.863,audio_features,spotify:track:1x5sYLZiu9r5E43kMlt9f8,https://api.spotify.com/v1/tracks/1x5sYLZiu9r5E43kMlt9f8,https://api.spotify.com/v1/audio-analysis/1x5sYLZiu9r5E43kMlt9f8,212459,4,Symphony (feat. Zara Larsson),Clean Bandit,Symphony (feat. Zara Larsson),1x5sYLZiu9r5E43kMlt9f8,spotify:artist:6MDME20pz9RveH9rEXvrOM,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']","[""[Verse 1]\nI've been hearin' symphonies\nBefore, all I heard was silence\nA rhapsody for you and me\nAnd every melody is timeless\nLife was stringin' me along\nThen you came and you cut me loose\nWas solo, singin' on my own\nNow I can't find the key without you\n\n[Pre-Chorus]\nAnd now your song is on repeat\nAnd I'm dancin' on to your heartbeat\nAnd when you're gone, I feel incomplete\nSo, if you want the truth\n[Chorus]\nI just wanna be part of your symphony\nWill you hold me tight and not let go?\nSymphony\nLike a love song on the radio\nWill you hold me tight and not let go?\n\n[Verse 2]\nI'm sorry if it's all too much\nEvery day you're here, I'm healin'\nAnd I was runnin' outta luck\nI never thought I'd find this feelin'\n'Cause I've been hearin' symphonies\nBefore all I heard was silence\nA rhapsody for you and me (A rhapsody for you and me)\nAnd every melody is timeless\n\n[Pre-Chorus]\nAnd now your song is on repeat\nAnd I'm dancin' on to your heartbeat\nAnd when you're gone, I feel incomplete\nSo, if you want the truth\n\n[Chorus]\nI just wanna be part of your symphony\nWill you hold me tight and not let go?\nSymphony\nLike a love song on the radio\nWill you hold me tight and not let go?\n\n[Interlude]\nAh, ah, ah, ah-ah-ah, ah, ah, ah\nAh, ah, ah, ah-ah-ah, ah, ah, ah\n\n[Pre-Chorus]\nAnd now your song is on repeat\nAnd I'm dancin' on to your heartbeat\nAnd when you're gone, I feel incomplete\nSo if you want the truth (Oh)\n\n[Chorus]\nI just wanna be part of your symphony\nWill you hold me tight and not let go?\nSymphony\nLike a love song on the radio\nSymphony\nWill you hold me tight and not let go?\nSymphony\nLike a love song on the radio\nWill you hold me tight and not let go?""]",76.0,2017-03-16,i've hearin' symphonies heard silence rhapsody every melody timeless life stringin' along came cut loose solo singin' can't find key without song repeat i'm dancin' heartbeat gone feel incomplete want truth wanna part symphony hold tight let go? symphony like love song radio hold tight let go? i'm sorry much every day i'm healin' runnin' outta luck never thought i'd find feelin' 'cause i've hearin' symphonies heard silence rhapsody rhapsody every melody timeless song repeat i'm dancin' heartbeat gone feel incomplete want truth wanna part symphony hold tight let go? symphony like love song radio hold tight let go? ah ah ah ah-ah-ah ah ah ah ah ah ah ah-ah-ah ah ah ah song repeat i'm dancin' heartbeat gone feel incomplete want truth oh wanna part symphony hold tight let go? symphony like love song radio symphony hold tight let go? symphony like love song radio hold tight let go?,3.0285714285714285,2.119642857142857,2.892678571428572
