danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,album,id,artist_uri,genres,lyrics,popularity,release_date,lyrics_filtered,valence_lyrics,arousal_lyrics,dominance_lyrics
0.335,0.0118,1.0,-23.89,1.0,0.0406,0.992,0.933,0.085,0.0805,91.146,audio_features,spotify:track:5wDBBKEIiDYwPQj4SpbBPI,https://api.spotify.com/v1/tracks/5wDBBKEIiDYwPQj4SpbBPI,https://api.spotify.com/v1/audio-analysis/5wDBBKEIiDYwPQj4SpbBPI,290933,4,"24 Préludes, Op. 28: No. 15 in D-Flat Major: Sostenuto",Frédéric Chopin,Chopin: Preludes; Sonata No.2,5wDBBKEIiDYwPQj4SpbBPI,spotify:artist:7y97mc3bZRFXzT2szRM4L4,"['classical', 'early romantic era', 'polish classical']",[''],48.0,2002-01-01,Error: No lyrics found,0.0,0.0,0.0
0.344,0.0562,8.0,-20.749,1.0,0.0323,0.987,0.838,0.135,0.172,88.171,audio_features,spotify:track:1dGXWUU6oRMfyAJzX96C7i,https://api.spotify.com/v1/tracks/1dGXWUU6oRMfyAJzX96C7i,https://api.spotify.com/v1/audio-analysis/1dGXWUU6oRMfyAJzX96C7i,221625,4,Désespérés,Vernon Sanders,Désespérés,1dGXWUU6oRMfyAJzX96C7i,spotify:artist:1gys0wFhj7eK75U30auAF4,['background jazz'],[''],46.0,2020-11-20,Error: No lyrics found,0.0,0.0,0.0
0.328,0.0474,9.0,-23.403,0.0,0.0354,0.983,0.909,0.122,0.206,87.896,audio_features,spotify:track:1YNCqpQZR3PFwlyQ7cbwxZ,https://api.spotify.com/v1/tracks/1YNCqpQZR3PFwlyQ7cbwxZ,https://api.spotify.com/v1/audio-analysis/1YNCqpQZR3PFwlyQ7cbwxZ,304467,4,Fantasía para un Gentilhombre: IIa. Españoleta,Joaquín Rodrigo,Joaquin Rodrigo: Concierto de Aranjuez; Tres piezas espanolas; Fantasía para un gentil hombre - Sony Classical Masters,1YNCqpQZR3PFwlyQ7cbwxZ,spotify:artist:3eqv9LW7ZXlYWXVFjHS4Mr,"['classical', 'classical guitar']",[''],45.0,2004,Error: No lyrics found,0.0,0.0,0.0
0.354,0.0125,4.0,-27.577,0.0,0.0443,0.995,0.959,0.0782,0.0691,98.211,audio_features,spotify:track:6q5co1XdRmnMeWlL1RWXPK,https://api.spotify.com/v1/tracks/6q5co1XdRmnMeWlL1RWXPK,https://api.spotify.com/v1/audio-analysis/6q5co1XdRmnMeWlL1RWXPK,220560,4,Gnossienne No. 1 (Arr. Kleynjans),Kaori Muraji,Lumieres,6q5co1XdRmnMeWlL1RWXPK,spotify:artist:1NBiTq7dgcI4yWrz5evt9P,"['classical guitar', 'japanese classical performance', 'japanese guitar']",[''],49.0,2005-01-01,Error: No lyrics found,0.0,0.0,0.0
0.338,0.0157,5.0,-23.558,0.0,0.036,0.995,0.94,0.0874,0.161,78.919,audio_features,spotify:track:36wpZ7gr4g48cCcEYvqrOj,https://api.spotify.com/v1/tracks/36wpZ7gr4g48cCcEYvqrOj,https://api.spotify.com/v1/audio-analysis/36wpZ7gr4g48cCcEYvqrOj,275427,4,Shir Eres (Lullaby),Avishai Cohen,Shir Eres (Lullaby),36wpZ7gr4g48cCcEYvqrOj,spotify:artist:5P0713TH0hfITBogErNmgp,"['ecm-style jazz', 'israeli jazz']",[''],46.0,2019-08-09,Error: No lyrics found,0.0,0.0,0.0
